PMPR_300	1,2,3
PMPR_315	1
PMPR_316	1
PMPR_317	1
PMPR_318	1
PMPR_319	1
PMPR_320	1
PMPR_321	2
PMPR_327	1
PMPR_328	2
PMPR_329	1
PMPR_330	1
PMPR_337	2
PMPR_338	2
PMPR_339	2
PMPR_345	3
PMPR_347	2
PMPR_348	2
PMPR_349	2
PMPR_356	2
PMPR_358	1
PMPR_359	2
PMPR_362	2
PMPR_370	1
PMPR_376	2
PMPR_378	2
PMPR_380	1,2,3
PMPR_381	2
PMPR_383	2
PMPR_385	1,2,3,4
PMPR_390	1,2
PMPR_430	2
PMPR_442	2
PMPR_445	2
PMPR_446	2
PMPR_450	1
PMPR_485	2
PMPR_487	2
PMPR_488	2
PMPR_536	3
PMPR_615	4
PMPR_616	4
PMPR_617	4
PMPR_618	4
PMPR_619	4
PMPR_620	4
PMPR_621	4
PMPR_622	4
PMPR_623	4
PMPR_624	4
PMPR_625	4
PMPR_XXX	0
