MATH_180	MCS__260	0
CS___107	MCS__275	-1
CS___109	MCS__275	-1
CS___111	MCS__275	-1
MCS__260	MCS__275	-1
CS___107	MCS__320	-1
CS___109	MCS__320	-1
CS___111	MCS__320	-1
MCS__260	MCS__320	-1
MCS__260	MCS__360	-1
MCS__275	MCS__360	-1
CS___107	MCS__361	-1
CS___109	MCS__361	-1
CS___111	MCS__361	-1
MATH_215	MCS__361	-1
CS___251	MCS__401	-1
MCS__360	MCS__401	-1
CS___251	MCS__411	-1
CS___261	MCS__411	-1
CS___301	MCS__411	-1
MCS__360	MCS__411	-1
MCS__441	MCS__411	-1
CS___341	MCS__415	-1
MCS__360	MCS__415	-1
MATH_215	MCS__421	-1
MATH_310	MCS__421	-1
MATH_320	MCS__421	-1
MATH_215	MCS__423	-1
MATH_310	MCS__423	-1
MATH_320	MCS__423	-1
MATH_215	MCS__425	-1
MATH_310	MCS__425	-1
MATH_320	MCS__425	-1
MATH_215	MCS__441	-1
CS___107	MCS__471	-1
CS___109	MCS__471	-1
CS___111	MCS__471	-1
MCS__260	MCS__471	-1
MCS__471	MCS__472	-1
CS___401	MCS__501	-1
MCS__401	MCS__501	-1
MCS__541	MCS__548	-1
MCS__401	MCS__549	-1
MCS__441	MCS__549	-1
MATH_481	MCS__571	-1
MCS__471	MCS__571	-1
MCS__471	MCS__572	-1
MCS__571	MCS__572	-1
MATH_481	MCS__573	-1
MCS__471	MCS__573	-1
MCS__423	MCS__591	-1
