ARCH_101	2
ARCH_171	3
ARCH_172	3
ARCH_199	1,2,3,4,5
ARCH_210	3
ARCH_231	4
ARCH_232	4
ARCH_237	3
ARCH_273	4
ARCH_274	3,4
ARCH_314	4
ARCH_321	3
ARCH_371	6
ARCH_372	6
ARCH_401	0,1,2,3,4
ARCH_403	3
ARCH_409	3
ARCH_412	3
ARCH_415	3
ARCH_416	3
ARCH_417	3
ARCH_424	3
ARCH_433	4
ARCH_434	5
ARCH_435	4
ARCH_468	3
ARCH_471	6
ARCH_472	6
ARCH_473	6
ARCH_474	6
ARCH_482	1,2,3
ARCH_484	1,2,3
ARCH_490	1,2,3,4
ARCH_491	0
ARCH_498	1,2,3,4
ARCH_499	0,1,2,3,4,5,6,7,8,9,10,11,12
ARCH_501	3
ARCH_510	4
ARCH_517	3
ARCH_521	4
ARCH_522	4
ARCH_536	4
ARCH_537	4
ARCH_538	4
ARCH_550	4
ARCH_551	4
ARCH_552	3
ARCH_554	3
ARCH_557	3
ARCH_558	3
ARCH_560	3
ARCH_563	4
ARCH_571	6
ARCH_572	6
ARCH_573	6
ARCH_574	6
ARCH_575	6
ARCH_576	3
ARCH_577	4
ARCH_588	0,1,2,3,4
ARCH_589	1
ARCH_590	0,1,2,3,4,5,6,7,8
ARCH_591	3,4
ARCH_592	2,3,4
ARCH_593	2,3,4
ARCH_594	2,3,4
ARCH_595	2,3,4
ARCH_596	2,3,4
ARCH_597	2,3,4
ARCH_598	0
ARCH_599	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ARCH_XXX	0
