BADM_199	1,2,3,4,5
BADM_205	3
BADM_210	3
BADM_211	3
BADM_261	1
BADM_275	3
BADM_300	3
BADM_303	3
BADM_310	3
BADM_311	3
BADM_312	3
BADM_313	3
BADM_314	3
BADM_320	3
BADM_322	3
BADM_323	3
BADM_324	3
BADM_325	3
BADM_329	3
BADM_330	3
BADM_331	3
BADM_335	3
BADM_336	3
BADM_337	3
BADM_338	3
BADM_340	3
BADM_346	3
BADM_350	3
BADM_351	3
BADM_352	3
BADM_353	3
BADM_356	3
BADM_358	3
BADM_359	3
BADM_360	3
BADM_365	3
BADM_366	3
BADM_367	3
BADM_370	3
BADM_371	3
BADM_372	3
BADM_374	3
BADM_375	3
BADM_377	3
BADM_378	3
BADM_379	3
BADM_380	3
BADM_381	3
BADM_382	3
BADM_383	3
BADM_394	2,3,4
BADM_395	1,2,3,4
BADM_403	4
BADM_420	3
BADM_445	4
BADM_446	4
BADM_449	3
BADM_453	3
BADM_460	3
BADM_461	4
BADM_463	3
BADM_464	3
BADM_502	2
BADM_503	2
BADM_504	2
BADM_507	4
BADM_508	2,4
BADM_509	2,4
BADM_512	4
BADM_513	2
BADM_514	2
BADM_519	4
BADM_520	2,4
BADM_525	2,4
BADM_527	4
BADM_537	4
BADM_538	4
BADM_543	2,4
BADM_544	2,4
BADM_545	2
BADM_547	2
BADM_549	2
BADM_550	0,1,2,3,4
BADM_554	4
BADM_555	4
BADM_557	2,4
BADM_558	4
BADM_561	2
BADM_562	4
BADM_566	2,4
BADM_567	2,4
BADM_572	2,4
BADM_573	2,4
BADM_575	4
BADM_576	4
BADM_583	4
BADM_584	4
BADM_588	0,1,2,3,4
BADM_589	2,4
BADM_590	0,1,2,3,4
BADM_591	0,1,2,3,4
BADM_593	1,2,3,4,5,6,7,8
BADM_594	2,4
BADM_595	2
BADM_599	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
BADM_XXX	0
