CI___199	1,2,3,4,5
CI___205	1
CI___210	3
CI___312	3
CI___395	2,3
CI___401	3
CI___402	3
CI___403	3
CI___404	3
CI___405	3
CI___406	3
CI___407	3
CI___410	3
CI___415	3
CI___420	5
CI___421	3
CI___422	3,4
CI___424	3,4
CI___425	3
CI___430	3
CI___431	4
CI___432	3
CI___433	4
CI___435	4
CI___436	3,4
CI___437	3,4
CI___438	3,4
CI___441	3
CI___443	3
CI___444	3
CI___445	3
CI___446	2,3,4
CI___447	3
CI___448	3
CI___450	3
CI___451	3
CI___452	3,4
CI___453	2
CI___454	2
CI___455	3,4
CI___465	3
CI___466	3
CI___467	3
CI___471	3,4
CI___473	2,3
CI___475	3,4
CI___476	3
CI___477	4
CI___480	4
CI___483	2
CI___485	3,4
CI___487	4
CI___488	4
CI___492	2
CI___499	2,3,4
CI___501	4
CI___502	2,4
CI___507	4
CI___508	4
CI___512	4
CI___513	4
CI___517	4
CI___519	4
CI___521	4
CI___522	4
CI___535	4
CI___536	2,4
CI___538	4
CI___545	4
CI___550	4
CI___555	4
CI___556	4
CI___563	4
CI___565	4
CI___568	4
CI___570	4
CI___580	4
CI___582	4
CI___590	0,1,2,3,4,5,6,7,8
CI___591	4,5,6,7,8
CI___595	2,4
CI___599	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CI___XXX	0
