FIN__199	0,1,2,3,4,5
FIN__221	3
FIN__230	3
FIN__241	3
FIN__300	3
FIN__321	3
FIN__380	2
FIN__390	1
FIN__391	1
FIN__392	1
FIN__393	1
FIN__394	1
FIN__395	1
FIN__411	3
FIN__412	3
FIN__414	3,4
FIN__415	3
FIN__418	3
FIN__419	3
FIN__422	3
FIN__423	3,4
FIN__424	3
FIN__425	3
FIN__432	3,4
FIN__433	3,4
FIN__434	3
FIN__435	3
FIN__443	3,4
FIN__445	3
FIN__446	3
FIN__447	3,4
FIN__461	3
FIN__463	3
FIN__464	3,4
FIN__490	1,2,3
FIN__494	2,3,4
FIN__495	2,3,4
FIN__500	2,4
FIN__501	2,4
FIN__502	2,4
FIN__503	2
FIN__504	2
FIN__511	2,4
FIN__512	4
FIN__514	4
FIN__515	2,4
FIN__516	2
FIN__517	2
FIN__518	4
FIN__521	4
FIN__522	4
FIN__526	4
FIN__527	2,4
FIN__529	4
FIN__530	2
FIN__532	4
FIN__535	2,4
FIN__536	4
FIN__537	4
FIN__543	4
FIN__545	4
FIN__550	4
FIN__552	4
FIN__553	2,4
FIN__554	4
FIN__555	4
FIN__556	4
FIN__557	4
FIN__558	2
FIN__559	2
FIN__570	4
FIN__571	4
FIN__572	4
FIN__573	4
FIN__574	4
FIN__580	0,1,2,3,4
FIN__581	1,2
FIN__582	1,2
FIN__583	1,2,3,4
FIN__589	4
FIN__590	0,1,2,3,4
FIN__591	4
FIN__592	2,4
FIN__594	4
FIN__599	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
FIN__XXX	0
