LA___100	1
LA___101	2
LA___199	1,2,3
LA___221	3
LA___233	5
LA___234	5
LA___242	3
LA___250	3
LA___280	3
LA___281	3
LA___314	4
LA___335	5
LA___336	5
LA___342	4
LA___343	4
LA___345	0,1,2,3,4,5,6,7,8,9,10
LA___346	2
LA___352	4
LA___387	1,2,3,4,5,6
LA___390	1,2,3,4,5,6
LA___430	2
LA___433	5
LA___434	5
LA___437	5
LA___438	5
LA___446	4
LA___450	4
LA___452	3
LA___480	2
LA___482	4
LA___490	1,2,3,4,5,6
LA___501	4
LA___505	2,3,4
LA___513	4
LA___533	5
LA___534	5
LA___537	5
LA___538	5
LA___539	5
LA___545	0,1,2,3,4,5,6,7,8,9,10,11,12
LA___563	4
LA___587	1,2,3,4
LA___589	4
LA___590	1,2,3,4,5,6,7,8
LA___594	2,4
LA___597	3
LA___598	0,1,2,3,4,5,6,7,8
LA___599	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
LA___XXX	0
