LAW__199	1,2,3
LAW__301	3
LAW__303	3
LAW__305	3
LAW__306	3
LAW__499	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
LAW__500	2
LAW__501	3,4
LAW__599	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
LAW__600	0
LAW__601	4
LAW__602	4
LAW__603	4
LAW__604	4
LAW__605	3,4
LAW__606	4
LAW__607	4
LAW__609	2,3
LAW__610	2,3
LAW__615	3,4
LAW__620	3,4
LAW__624	3,4
LAW__625	3,4
LAW__627	1,2
LAW__629	3,4
LAW__631	2,3,4
LAW__633	3,4
LAW__642	3,4
LAW__644	3,4
LAW__645	2,3,4
LAW__647	3,4
LAW__648	3,4
LAW__653	3,4
LAW__656	3,4
LAW__657	3,4
LAW__660	3,4
LAW__664	2,3,4
LAW__667	3,4
LAW__668	3,4
LAW__670	3,4
LAW__678	3,4
LAW__679	3,4
LAW__680	2,3,4
LAW__682	3,4
LAW__683	3,4
LAW__684	3,4
LAW__685	2,3,4
LAW__686	2,3,4
LAW__687	3,4
LAW__692	1,2,3,4
LAW__693	1,2,3,4,5
LAW__694	2,3,4
LAW__696	1,2
LAW__697	1,2
LAW__699	0,1,2
LAW__701	0
LAW__792	1,2,3,4
LAW__793	1,2,3,4
LAW__794	1,2,3,4
LAW__795	1,2,3,4
LAW__796	1,2,3,4
LAW__797	1,2,3,4
LAW__798	1,2,3,4
LAW__XXX	0
