PATH_290	1,2,3,4,5
PATH_410	4
PATH_433	3
PATH_439	3
PATH_494	1,2,3,4
PATH_517	4
PATH_519	3
PATH_520	4
PATH_527	1
PATH_530	3
PATH_534	3
PATH_542	1
PATH_545	0,1,2,3,4,5,6
PATH_546	0,1,2,3,4,5,6
PATH_547	0,1
PATH_551	1
PATH_552	2,4
PATH_556	1,2
PATH_557	0,1,2
PATH_558	0,1
PATH_559	0,1,2
PATH_560	4
PATH_575	1
PATH_576	1
PATH_577	2
PATH_578	4
PATH_579	3
PATH_590	1
PATH_592	1,2,3,4
PATH_596	1
PATH_598	1,2,3,4,5,6,7,8
PATH_599	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
PATH_629	2
PATH_644	1
PATH_692	1,2,3
PATH_XXX	0
