SOCW_101	2
SOCW_199	1,2,3,4
SOCW_200	3
SOCW_225	3
SOCW_240	3
SOCW_297	3
SOCW_299	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
SOCW_300	3
SOCW_310	0,1,2,3
SOCW_315	3
SOCW_321	3
SOCW_330	3,4,5,6
SOCW_360	3
SOCW_370	3
SOCW_380	3,4,5,6
SOCW_400	4
SOCW_401	4
SOCW_402	3
SOCW_403	3
SOCW_404	3
SOCW_410	3,4
SOCW_417	3,4
SOCW_418	1,2,3,4
SOCW_420	3
SOCW_425	3,4
SOCW_427	3,4
SOCW_451	3,4
SOCW_455	3,4
SOCW_456	3,4
SOCW_457	3
SOCW_461	4
SOCW_470	7,8,9,10,11,12,13,14,15
SOCW_473	3,4
SOCW_480	0,1,2,3
SOCW_500	4
SOCW_503	4
SOCW_506	4
SOCW_507	4
SOCW_508	4
SOCW_509	4
SOCW_510	4
SOCW_514	4
SOCW_515	4
SOCW_516	4
SOCW_519	4
SOCW_520	4
SOCW_522	4
SOCW_526	4
SOCW_531	8,9,10,11,12
SOCW_532	8,9,10,11,12
SOCW_533	2,3,4,5,6
SOCW_541	4
SOCW_542	4
SOCW_552	4
SOCW_553	4
SOCW_561	1,2,3,4,5,6,7,8
SOCW_562	2,3,4,5,6,7,8
SOCW_579	4
SOCW_580	4
SOCW_581	4
SOCW_584	4
SOCW_585	4
SOCW_589	4
SOCW_593	4
SOCW_594	4
SOCW_595	4
SOCW_599	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SOCW_XXX	0
