THEA_100	1,2,3
THEA_101	3
THEA_110	3
THEA_119	1
THEA_121	3
THEA_122	3
THEA_123	3
THEA_126	3
THEA_151	3
THEA_153	3
THEA_170	3
THEA_175	3
THEA_199	0,1,2,3,4,5
THEA_200	1,2,3
THEA_208	3
THEA_211	3
THEA_212	3
THEA_218	3
THEA_220	3
THEA_222	3
THEA_223	3
THEA_225	3
THEA_231	3
THEA_242	3
THEA_243	3
THEA_262	3
THEA_270	3
THEA_271	2
THEA_275	3
THEA_276	2
THEA_300	1,2,3
THEA_304	3
THEA_359	2
THEA_364	3
THEA_371	1
THEA_372	2
THEA_373	2
THEA_374	3
THEA_375	1
THEA_376	2
THEA_377	2
THEA_378	3
THEA_391	2
THEA_392	2
THEA_399	1,2,3,4
THEA_400	1,2,3
THEA_401	1
THEA_402	3,4
THEA_404	1
THEA_406	3,4
THEA_407	2
THEA_408	3,4
THEA_411	3
THEA_412	3
THEA_413	4
THEA_414	3
THEA_417	4
THEA_418	3,4
THEA_419	2
THEA_421	4
THEA_422	3
THEA_423	3,4
THEA_424	3
THEA_425	3
THEA_426	3
THEA_427	3
THEA_428	3
THEA_429	2
THEA_430	3
THEA_431	3,4
THEA_432	3,4
THEA_434	1
THEA_435	2
THEA_437	2
THEA_438	3
THEA_441	4
THEA_442	3,4
THEA_444	4
THEA_446	3
THEA_447	3,4
THEA_449	4
THEA_450	1
THEA_451	3,4
THEA_452	3,4
THEA_453	3
THEA_454	3
THEA_455	3
THEA_456	3
THEA_457	2
THEA_461	3,4
THEA_462	3,4
THEA_466	4
THEA_469	3
THEA_470	3,4
THEA_471	1
THEA_472	2
THEA_473	2
THEA_474	3
THEA_475	1
THEA_476	2
THEA_477	2
THEA_478	3
THEA_479	2
THEA_482	3,4
THEA_485	3,4
THEA_490	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
THEA_491	3,4
THEA_492	3,4
THEA_493	3,4
THEA_494	3,4
THEA_495	1
THEA_496	1
THEA_497	3
THEA_498	3
THEA_522	3
THEA_550	4,8
THEA_559	2
THEA_560	4
THEA_562	4
THEA_571	1
THEA_572	2
THEA_573	2
THEA_574	3
THEA_591	0,1,2,3,4,5,6,7,8
THEA_595	1,2,3,4,5,6,7,8
THEA_599	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
THEA_XXX	0
