MATH_231	ASRM_210	-1
ASRM_210	ASRM_406	-1
FIN__221	ASRM_406	-1
MATH_210	ASRM_406	-1
MATH_241	ASRM_406	-1
ASRM_401	ASRM_409	-1
MATH_408	ASRM_409	-1
MATH_461	ASRM_409	-1
ASRM_402	ASRM_410	0
STAT_410	ASRM_410	0
ASRM_401	ASRM_441	-1
STAT_400	ASRM_441	-1
ASRM_401	ASRM_442	-1
ASRM_441	ASRM_442	-1
ASRM_450	ASRM_442	-1
STAT_400	ASRM_442	-1
ASRM_441	ASRM_454	-1
ASRM_450	ASRM_454	-1
ASRM_401	ASRM_455	-1
STAT_200	ASRM_455	-1
STAT_361	ASRM_455	-1
ASRM_401	ASRM_461	-1
ASRM_402	ASRM_461	0
MATH_461	ASRM_461	-1
MATH_463	ASRM_461	-1
MATH_464	ASRM_461	0
STAT_400	ASRM_461	-1
STAT_408	ASRM_461	-1
STAT_409	ASRM_461	0
STAT_410	ASRM_461	0
ASRM_401	ASRM_462	-1
ASRM_461	ASRM_462	-1
STAT_400	ASRM_462	-1
ASRM_210	ASRM_469	-1
ASRM_402	ASRM_469	0
MATH_210	ASRM_469	-1
MATH_409	ASRM_469	0
ASRM_210	ASRM_471	-1
ASRM_401	ASRM_471	-1
MATH_210	ASRM_471	-1
MATH_408	ASRM_471	-1
ASRM_471	ASRM_472	-1
MATH_471	ASRM_472	-1
ASRM_402	ASRM_510	-1
MATH_409	ASRM_510	-1
MATH_464	ASRM_510	-1
ASRM_401	ASRM_533	-1
MATH_461	ASRM_533	-1
STAT_400	ASRM_533	-1
ASRM_455	ASRM_555	-1
ASRM_401	ASRM_561	-1
MATH_408	ASRM_561	-1
MATH_461	ASRM_561	-1
MATH_463	ASRM_561	-1
ASRM_471	ASRM_575	-1
MATH_471	ASRM_575	-1
