MATH_112	STAT_100	-1
STAT_107	STAT_207	-1
STAT_107	STAT_385	-1
STAT_200	STAT_385	-1
STAT_212	STAT_385	-1
MATH_231	STAT_400	-1
MATH_241	STAT_400	-1
MATH_241	STAT_408	-1
STAT_408	STAT_409	-1
MATH_241	STAT_410	-1
STAT_400	STAT_410	-1
MATH_231	STAT_420	-1
STAT_400	STAT_420	-1
STAT_408	STAT_420	-1
STAT_410	STAT_424	0
STAT_420	STAT_424	-1
STAT_425	STAT_424	-1
MATH_257	STAT_425	-1
MATH_415	STAT_425	-1
STAT_400	STAT_425	-1
STAT_410	STAT_425	-1
STAT_410	STAT_426	-1
STAT_425	STAT_426	-1
STAT_425	STAT_427	-1
STAT_410	STAT_428	-1
STAT_410	STAT_429	-1
STAT_410	STAT_430	-1
STAT_425	STAT_430	-1
STAT_410	STAT_431	-1
STAT_400	STAT_432	-1
STAT_420	STAT_432	-1
STAT_425	STAT_432	-1
MATH_225	STAT_433	-1
STAT_400	STAT_433	-1
STAT_410	STAT_433	-1
MATH_257	STAT_437	-1
MATH_415	STAT_437	-1
STAT_410	STAT_437	-1
STAT_400	STAT_440	-1
STAT_409	STAT_440	-1
STAT_420	STAT_443	-1
STAT_425	STAT_443	-1
STAT_400	STAT_448	-1
STAT_409	STAT_448	-1
STAT_410	STAT_448	0
STAT_420	STAT_480	-1
STAT_425	STAT_480	-1
STAT_440	STAT_480	-1
STAT_447	STAT_480	-1
STAT_410	STAT_510	-1
STAT_410	STAT_511	-1
STAT_425	STAT_525	-1
STAT_426	STAT_525	-1
STAT_510	STAT_525	-1
STAT_410	STAT_527	-1
STAT_510	STAT_527	-1
STAT_511	STAT_527	-1
STAT_510	STAT_528	-1
STAT_511	STAT_528	-1
STAT_527	STAT_528	-1
MATH_415	STAT_533	-1
MATH_461	STAT_533	-1
MATH_540	STAT_533	-1
STAT_410	STAT_542	-1
STAT_425	STAT_542	-1
STAT_425	STAT_546	-1
STAT_510	STAT_546	-1
STAT_511	STAT_546	-1
MATH_447	STAT_553	-1
STAT_429	STAT_556	-1
MATH_415	STAT_571	-1
STAT_410	STAT_571	-1
MATH_561	STAT_575	-1
STAT_511	STAT_575	-1
STAT_554	STAT_575	-1
STAT_425	STAT_593	-1
