THEA_103	THEA_126	-1
THEA_170	THEA_175	-1
THEA_101	THEA_208	-1
THEA_122	THEA_208	-1
THEA_208	THEA_211	-1
THEA_122	THEA_212	-1
THEA_122	THEA_220	-1
THEA_208	THEA_220	-1
THEA_125	THEA_222	-1
THEA_126	THEA_223	-1
THEA_125	THEA_225	-1
THEA_175	THEA_270	-1
THEA_175	THEA_271	-1
THEA_270	THEA_275	-1
THEA_208	THEA_304	-1
THEA_122	THEA_364	-1
THEA_123	THEA_364	-1
THEA_275	THEA_371	-1
THEA_372	THEA_371	0
THEA_373	THEA_371	0
THEA_374	THEA_371	0
THEA_275	THEA_372	-1
THEA_371	THEA_372	0
THEA_373	THEA_372	0
THEA_374	THEA_372	0
THEA_275	THEA_373	-1
THEA_371	THEA_373	0
THEA_372	THEA_373	0
THEA_374	THEA_373	0
THEA_275	THEA_374	-1
THEA_371	THEA_374	0
THEA_372	THEA_374	0
THEA_373	THEA_374	0
THEA_371	THEA_375	-1
THEA_372	THEA_375	-1
THEA_373	THEA_375	-1
THEA_374	THEA_375	-1
THEA_376	THEA_375	0
THEA_377	THEA_375	0
THEA_378	THEA_375	0
THEA_371	THEA_376	-1
THEA_372	THEA_376	-1
THEA_373	THEA_376	-1
THEA_374	THEA_376	-1
THEA_375	THEA_376	0
THEA_377	THEA_376	0
THEA_378	THEA_376	0
THEA_371	THEA_377	-1
THEA_372	THEA_377	-1
THEA_373	THEA_377	-1
THEA_374	THEA_377	-1
THEA_375	THEA_377	0
THEA_376	THEA_377	0
THEA_378	THEA_377	0
THEA_371	THEA_378	-1
THEA_372	THEA_378	-1
THEA_373	THEA_378	-1
THEA_374	THEA_378	-1
THEA_375	THEA_378	0
THEA_376	THEA_378	0
THEA_377	THEA_378	0
THEA_451	THEA_401	-1
THEA_451	THEA_408	-1
THEA_211	THEA_411	-1
THEA_212	THEA_412	-1
THEA_126	THEA_419	-1
THEA_126	THEA_422	-1
THEA_231	THEA_423	-1
THEA_126	THEA_424	-1
THEA_225	THEA_425	-1
THEA_427	THEA_428	-1
THEA_223	THEA_430	-1
THEA_419	THEA_430	-1
THEA_231	THEA_431	-1
THEA_423	THEA_431	-1
THEA_231	THEA_432	-1
THEA_423	THEA_432	-1
THEA_431	THEA_432	-1
THEA_231	THEA_437	-1
THEA_425	THEA_437	-1
THEA_125	THEA_438	-1
THEA_242	THEA_441	-1
THEA_442	THEA_444	-1
THEA_153	THEA_454	-1
THEA_454	THEA_455	-1
THEA_427	THEA_469	-1
THEA_428	THEA_469	-1
MACS_372	THEA_470	-1
THEA_375	THEA_471	-1
THEA_376	THEA_471	-1
THEA_377	THEA_471	-1
THEA_378	THEA_471	-1
THEA_472	THEA_471	0
THEA_473	THEA_471	0
THEA_474	THEA_471	0
THEA_375	THEA_472	-1
THEA_376	THEA_472	-1
THEA_377	THEA_472	-1
THEA_378	THEA_472	-1
THEA_471	THEA_472	0
THEA_473	THEA_472	0
THEA_474	THEA_472	0
THEA_375	THEA_473	-1
THEA_376	THEA_473	-1
THEA_377	THEA_473	-1
THEA_378	THEA_473	-1
THEA_471	THEA_473	0
THEA_472	THEA_473	0
THEA_474	THEA_473	0
THEA_375	THEA_474	-1
THEA_376	THEA_474	-1
THEA_377	THEA_474	-1
THEA_378	THEA_474	-1
THEA_471	THEA_474	0
THEA_472	THEA_474	0
THEA_473	THEA_474	0
THEA_471	THEA_475	-1
THEA_472	THEA_475	-1
THEA_473	THEA_475	-1
THEA_474	THEA_475	-1
THEA_476	THEA_475	0
THEA_477	THEA_475	0
THEA_478	THEA_475	0
THEA_471	THEA_476	-1
THEA_472	THEA_476	-1
THEA_473	THEA_476	-1
THEA_474	THEA_476	-1
THEA_475	THEA_476	0
THEA_477	THEA_476	0
THEA_478	THEA_476	0
THEA_471	THEA_477	-1
THEA_472	THEA_477	-1
THEA_473	THEA_477	-1
THEA_474	THEA_477	-1
THEA_475	THEA_477	0
THEA_476	THEA_477	0
THEA_478	THEA_477	0
THEA_471	THEA_478	-1
THEA_472	THEA_478	-1
THEA_473	THEA_478	-1
THEA_474	THEA_478	-1
THEA_475	THEA_478	0
THEA_476	THEA_478	0
THEA_477	THEA_478	0
THEA_375	THEA_479	-1
THEA_376	THEA_479	-1
THEA_377	THEA_479	-1
THEA_378	THEA_479	-1
THEA_437	THEA_491	-1
THEA_153	THEA_497	-1
THEA_497	THEA_498	-1
THEA_422	THEA_522	-1
THEA_572	THEA_571	0
THEA_573	THEA_571	0
THEA_574	THEA_571	0
THEA_571	THEA_572	0
THEA_573	THEA_572	0
THEA_574	THEA_572	0
THEA_571	THEA_573	0
THEA_572	THEA_573	0
THEA_574	THEA_573	0
THEA_571	THEA_574	0
THEA_572	THEA_574	0
THEA_573	THEA_574	0
